Name,Counselling,tool1,tool1Message,tool2,tool2Message,tool3,tool3Message,tool4,tool4Message,tool5,tool5Message,tool6,tool6Message,tool7,tool7Message,tool8,tool8Message
"I don’t know why I self-sabotage, I’m lost. It’s like an innate characteristic I can’t get rid off","Interesting that you call your self-sabotaging tendencies an ‘innate characteristic’. Self-sabotage is in fact the manifestation of something deeper - so not really an innate characteristic we can’t get rid of. But of course, it can feel like that because it’s so heavy, especially when we don’t understand where it comes from.

I’ve always found it fascinating that many of our problems seem to become lighter when we understand where they come from. That’s the power of knowledge and insight.

Think of it this way - let’s say you’ve been tasked with sending a voice message to a friend using a brand-new phone, and an app you’ve never heard of before. It’s all frustratingly unfamiliar, and nothing works. You throw your hands up and decide that this new technology is inherently impossible to navigate. Then, your techie friend comes in and shows you the ropes. Once you know how to use the gadget or app, it won't be as frustrating as it was before. It doesn’t have that power over you anymore.

Our feelings and thoughts also work in this way. When we don’t understand their mechanics, they can be frustrating! When we gain insight, we escape them. They no longer control us.

So let’s try to understand your self-sabotaging tendencies.

I'll ask you a series of questions. If these are a lot for you to answer right away, that’s okay. You don’t have to answer them all. Consider these suggestions as something you can do in your own time.",guided_journaling,"What kind of self-sabotaging behavior do you find yourself exhibiting? This can include procrastination, unhealthy habits, defensiveness, undermining your worth, perfectionism, etc.",practice_awareness,"Let’s break it down by different aspects of your life. Grab a sheet of paper, and make five columns on it: work, relationships, family, friends, and other peer groups, and finally, ‘self’.

How would each of these areas of your life be different? What would you do that you aren’t doing right now? What would you stop doing?

You can pause this mini-therapy and fill out the sheet now. Or you can return later. Either way, it is okay.",practice_awareness,"So, sit in a comfortable position. Try to keep your back straight. You can lean against a wall or a chair if you like. Close your eyes, and let your mind reflect on the source of this self-sabotage.",,,,,,,,,,
Emotionally I just lose control at some point. I have a hard time figuring out emotions and I don't feel a lot of emotions other than anger,"Hello there, I’m so glad that you have taken the time to work with me to help manage your anger. Let me just start off by saying, boy do I feel you! Sometimes when I have too many emotions running on at once, the only one I can grab onto is anger. Then I find myself wanting to punch walls and scream from rooftops.

But that rarely works, usually, because it is not necessarily anger that I am feeling. Anger is the only way I know to manifest all other emotions. We can all understand the anger. We have all experienced it, expressed it, and felt the brunt of it.

I would say that anger, happiness, and sadness are the three emotions that are the most tangible, would you agree? So we tend to put all other emotions into the category of one of these three.

The problem is that they don’t always fit into one of those categories. And then we try to be seen and heard, but ultimately not really feel understood. This leaves us feeling less seen and less heard, causing more anger. It’s a vicious cycle.

Does this sound like you? It certainly sounds like me!

Here’s what we will do together.

1. I will help you understand what your anger is trying to tell you
2. I will help you identify other emotions than anger you might be feeling
3. I will help you understand how your anger might be serving you.
4. I will walk you through some exercises that will help you regulate your body, bringing you to a calmer place.

But before we begin, I want you to check in with yourself. Are you feeling the tension in your body? Are you open to trying these new techniques? For the next few seconds, I would like you to follow this guided breathing prompt. As you do, scan your body and release any tension you feel.",practice_breathing,breathing_4_x_5_x_6,reflective_questions,"1. If anger had a voice, what would it say?
2. What lies beneath the anger?
3. What is your anger motivating you to change in your life?",guided_journaling,Write about your life growing up. What emotions did you witness the most? Can you tell me what you learned about those emotions?,,,,,,,,,,
"I have trouble sleeping at night, I always sleep really late and then get up really late the following day","Hello, welcome to your safe space. Let us use this space to build a healthy lifestyle.

Most of us desire peaceful and consistent sleep as it is an essential aspect of our lifestyle. I can completely understand your frustration about not being able to fall asleep at night and wake up early. It must be so frustrating and difficult for you to struggle with sleeping every night. Poor quality sleep can drain our energy levels, and affect our performance and quality of life.

If the difficulty in sleeping is temporary due to changes in lifestyle, routine, or certain stressors, it is quite normal and common. The problem arises when poor sleep becomes a pattern night after night. I am glad that you recognized your pattern and have taken this step to address your concern.

Sleep troubles can vary from individual to individual. It may look like tossing and turning on the bed, feeling uncomfortable while lying down, closing your eyes but unable to fall asleep, or feeling restless in bed. It may also be experienced in the form of preoccupation with negative thoughts or ruminating.

Sleeping difficulties can be caused by various factors such as stress, caffeine consumption, heavy meals, physical health issues, hectic schedules, lifestyle choices, reduced physical activities, and, or the use of social media devices in bed.

Let's explore the ways you experience insomnia and the possible factors that contribute to it.",guided_journaling,Write about the troubles you experience while falling asleep and try to recall the time they started. Explore the factors that could have played a role at that time that contributed to your difficulties.,reflective_questions,How do your sleep difficulties impact you?,practice_awareness,"While lying down, place one hand on your upper chest and the other hand at the top of your belly, right below your rib cage. Your hands will help you to make sure that you’re only breathing through your belly during this exercise. Breathe in through the nose so your belly pushes against your hand. Your other hand and your chest should remain as still as possible. While keeping your chest still, tighten your stomach muscles and exhale through pursed lips. Let's try this 3 times.",guided_journaling,Think of a time every night and morning that you want to fix for sleeping and waking up. Decide on at least one activity that you would like to do consistently before heading to sleep every night.,reflective_questions,What would be the first sleep hygiene tip you would like to implement?,send_love_to_yourself,You deserve love for taking care of yourself and sticking by yourself throughout this journey. This shows your determination to improve every day.,,,,
"When I study, I am never satisfied. I want to study more, for a longer duration, but I still feel like I’m not good enough","I know how it feels to put so much out there and yet feel that it's not good enough, like you're not good enough, trying repeatedly and still not feeling satisfied. I understand how frustrating and discouraging that can be.

Thank you for acknowledging your discomfort and reaching out for support. Let's work together to gain a deeper understanding of this discomfort and find ways to manage it.

Before we begin, let's work on a short breathing exercise to help you feel grounded and relaxed.

Follow my lead and breathe in through your nose. As you breathe in, feel the air moving from your nostrils and filling up your lungs. Hold your breath and sense the air spread out throughout your entire being. Slowly breathe out through your mouth as though blowing a balloon, and feel your body relax.",practice_breathing,breathing_4_x_7_x_8,reflective_questions,What are the expectations you have around studies?,reflective_questions,"How has your perspective about studies, achievement, and success formed? What role did your early caregivers or other influential people play in instilling this notion within you? What was their message and how did you internalize it (make it your own)? How do they make you feel?",reflective_questions,I am not good enough - how does this belief make you feel? Is this message helpful? Is this message 100% true? Have you never done better in your studies before?,reflective_questions,"Is there another way of seeing yourself and this situation? If you were to replace the ‘I’m not good enough’ message with a more helpful and realistic one, what would it be? What would I say to someone I truly love?”",guided_journaling,"1. Break the goal down into small simple steps.
2. How can you know it is completed?
3. Is it realistically doable?
4. Is it a priority?
5. Can it be timed?",send_love_to_yourself,You've come a long way and I'm proud of you for your fighting spirit. Wrap your arms around yourself and give yourself all the love you deserve,,
"I’m not sure why I feel distrustful of others, it just is that way for me. My childhood wasn’t the best, and I’ve been bullied at school so that may have made it hard to trust people","Hello! Welcome to your mini-therapy. I understand that you are unable to trust others. It sounds to me that you have had some difficult experiences in your childhood that may contribute to your distrust of others.

It takes courage to acknowledge and confront trust issues, so well done for taking this step today. Let's try to understand how your childhood experiences have impacted your trust issues.

It's not uncommon to face issues in adulthood when we have experienced negative events like bullying in the past. Our past experiences shape our beliefs about ourselves and the world around us, including our ability to trust others. So, if in our childhood we faced tough situations that affected our ability to trust others, it can be very challenging for us to rely onothers again.

I understand that you experienced bullying in your childhood. That must have been very tough for you. Bullying can have a huge impact on us, especially in our formative years. It’s imperative to address the impact bullying has had on you as a person. Take a moment to reflect on how your childhood experiences affected you. Whatever it may be for you, please take a moment to reflect.",reflective_questions,Reflect on how my childhood experiences have affected me...,reflective_questions,Can you relate to one or more of these? Please take a minute to write down how trust issues have affected your life.,practice_awareness,How are you feeling right now?,practice_awareness,Can you relate to this? Please take a minute to reflect on everything we discussed.,guided_journaling,"Think about a situation where you made a decision you are proud of. It can be small or big. Write about what made you choose that decision, how you knew it was the right decision and how it made you feel afterwards.",,,,,,
"When I’m angry, my thoughts start going into an angry and uncontrollable spiral and I want to hurt the people who are treating me unfairly. I start thinking about how no one likes me or appreciates me or my work, and that they don't think I'm good enough for them, and they like other people better than me","It is brave of you to express your discomfort and seek support. Thank you for being here. Not being accepted, heard, seen, and appreciated the way we want to, can make us frustrated and angry. More so, when we expect others to treat us a certain way and they fail to do so. It’s only natural and understandable.

Anger is a powerful tool that can help protect against harm or injustice. It’s a basic human emotion felt by all. And yet, we all feel it in different intensities and also, deal with it differently. Some use it to express the injustice verbally, some internalize it, while others express it physically.

As we move ahead, we’ll explore your thoughts related to anger, understand the cause and learn the tools to help you manage your response.

Let’s begin by taking some deep conscious breaths which can help you feel prepared for working on this discomfort",practice_breathing,breathing_4_x_7_x_8,reflective_questions,Recall the situation that made you feel angry,reflective_questions,"What thoughts ran through your head when you were angry?

What are your thoughts on the situation or the people involved?

What do you think about their behavior?",reflective_questions,How do you feel and act when you believe you are not liked or appreciated by others?,reflective_questions,Is this belief backed up by evidence or just my assumption? What evidence backs up my belief? What evidence proves that the opposite is true? Could there be any alternative explanations for what's going on?,reflective_questions,"Create another belief or viewpoint that is more beneficial and realistic than ""no one likes or appreciates me or my work""? What proof do you have to back up your newly formed belief? How might this new belief influence the situation's feelings and behaviors?

For example

Old belief: ""No one likes me or my work."" ""They don't think I'm good enough for them, and they like others better than me.”

New effective belief: ""While some people may not recognize my work or treat me properly, I know I have qualities that others like and value. I don't need everyone to like me, and it's okay if some people don't.”",practice_awareness,"Close your eyes or soften your gaze. Inhale through your nose for 4 counts, visualize breathing in peace and calm, exhale through your mouth for 4 counts, and visualize breathing out the unrest within your body.

Do this 10 times",,
My parents would argue a lot about the same few things as I was growing up. I sometimes feel like they only stayed together this long because they had me to worry about,"Hello my fellow being, thank you for working on this discomfort today.

There is no doubt that we are products of our parents and the environment we are exposed to when growing up. Along with that, our relationship with our parents has a huge impact on our overall life.

Not to forget that parents are not perfect or have any ill intentions for us. However, they are also humans who fight and argue and make mistakes.

I understand that witnessing your parents argue while growing up and feeling that they have been together because of you can be disturbing. However, I would want to know how this has impacted you, your personality, and your life.",reflective_questions,Could you share some thoughts here on its impact on your life?,reflective_questions,What do you think? What kind of attitude and perception has this experience led to?,practice_awareness,"I would want you to perform a quick body scan here and see where you experience maximum sensation when you think about this discomfort. I would like you to take a moment to breathe deeply and reflect upon that sensation. Now allow yourself a moment to release all these sensations and feelings that you are carrying with you which are not yours but your parents'.

Breathe in and as you breathe out release all of these emotions that are not required by your system. Breathe out of your mouth. Let’s do it together.",practice_breathing,breathing_4_x_4,practice_awareness,I want you to take a small walk here and reflect on this thought. How do I want my relationship with my parents?,,,,,,
"I’m feeling triggered right now, what do I do?","Triggers. Yuck. I hate them. They send us into a place full of uncertainty and fear. If we are not careful, before we know it we can find ourselves paralyzed to do anything or avoid all situations that may induce triggers.

Does this sound like what you are experiencing?

First, I want you to know that triggers are normal human experiences created by a stressor that causes an emotional response. Triggers usually bring on more intense emotions, and usually uncomfortable ones, like anxiety or fear.

We all experience triggers because we are all human. I say this to help you know that triggers in and of themselves are not to be feared. What stops us in our tracks is our own reaction to the trigger.

My guess is that when you feel triggered you either want to avoid the situation all together or if you are already in the situation, you want to do anything you can to get out of it.

Both responses are normal. However, they might not help you manage future situations. Avoidance creates more discomfort.

The first thing to know about your triggers is what emotions they evoke. Do you find yourself feeling intense sadness, anxiety, betrayal, fear, etc? The next step is to identify places, people or things that provoke these feelings.",guided_journaling,"Take out a piece of paper and make two columns. In the first column, write down all the situations where you felt triggered. In the second column, express the emotion(s) you feel in those situations. You can use this space to write about your current trigger and emotions.",reflective_questions,"Look back at your findings from the first exercise. What emotions and situations came up the most? Now, go back in your history and think of times when you felt that way. Is there something about the situation(s) in your life now that are similar to the original event?",practice_breathing,breathing_4_x_5_x_6,practice_affirmations,"I am strong and capable of handling this situation.

This feeling is just a feeling and cannot hurt me",practice_awareness,"Close your eyes and visualize yourself in the place that triggers you. See yourself walking into the place, noticing your surroundings. Picture yourself as an empowered person, telling yourself you are safe. Stay in that space for a minute and notice yourself feeling less and less afraid.",,,,,,
"I want a real relationship, but I don’t think I’m good enough because of my history of relationships. So, because I like the idea of a relationship, I just deal with almost anything","I’m sorry to hear that your past relationships have left you feeling unworthy. Experiences that make us feel unlovable can make us put our own needs on the back burner. This is especially true when we have a strong desire for a relationship.

And that is understandable. We are relational beings, after all. We need companionship, love, and care. It sounds like your needs have been in some ways neglected in your past relationships.

Let’s start this mini-therapy by addressing your needs.",guided_journaling,What are some of your needs that a ‘real’ relationship would meet?,guided_journaling,Write down one to three ‘I-statements’ you can use to communicate your needs in the relationship,guided_journaling,What are some ways to set boundaries in your relationships?,practice_affirmations,I can be compassionate toward myself and my needs even if others are not.,,,,,,,,
My partner and I are not very intimate because I am uncomfortable or don't know how to communicate what I would like,"Oh, it’s such an awkward thing to talk about intimacy! I can empathize. Nobody teaches us how to talk about our desires. But what makes it even more challenging is that nobody teaches us to learn to be okay with them either. And so, we carry all this judgment, shame, and embarrassment about our sexual needs. This clouds any conversation we may want to have with a partner.

Take a moment to make yourself comfortable. Scan your body from head to toe and release any tension you notice.Remind yourself that you are in a safe space, without judgment. Stay with this sense of safety and non-judgment for a moment, and try to find it within you to explore your desires with an open mind.",practice_awareness,Take a moment to name and accept your desires for what they are.,guided_journaling,"What are your general thoughts around talking about desire? Do you believe that it can fuel the spark, or that it kills it? What else do you think about it?",guided_journaling,How do you think your unmet needs impact you at an individual level?,,,,,,,,,,
"I really attempt to be put together, but I feel behind in life. I just wish I was perfect in terms of having things planned out and hitting certain milestones ""on time”","Pediatricians often see something called ‘milestone anxiety’ among new parents in their practice. New parents are concerned about their kids learning to walk, talk, read, and write at the appropriate time. This is understandable because it is rooted in biology and enough research demonstrates that there is in fact an appropriate time to achieve developmental milestones.

But when, as adults, we experience milestone anxiety, it is not rooted in any biological or scientific expectation or explanation. It is rooted in social or cultural expectations to achieve certain goals at a certain age. The problem with this is that cultural expectations are often not set in stone. They are malleable and negotiable. They are ‘should bes’ that can become ‘maybe nots’, and not meeting social, interpersonal, or financial goals “on time” doesn’t always imply that we are inadequate.

But yes, it’s easier said than done.

Before we explore your discomfort, let’s take a moment to scan where in your body you feel it. Close your eyes and scan your body from your head to your toes. Do you notice any tightness? Pain? Tense muscles? Take note of these things, and as you exhale, imagine the uncomfortable sensations leaving your body.

If you feel okay physically, imagine a circle at the center of your chest, and picture it shrinking with each exhalation.

Let’s do this for another few breaths… As you exhale, imagine your body feeling lighter and more relaxed. Or, the circle becoming smaller in size.",practice_breathing,breathing_4_x_4,guided_journaling,In what sense do you feel ‘left behind’?,guided_journaling,What’s the source of the pressure you feel to meet milestones? Remember - it doesn’t have to be one thing.,,,,,,,,,,
How do I deal with uncertainty about getting a new job?,"You’re in the midst of a job hunt. Although it can be exciting to see what lies ahead of you, it’s okay to feel anxious about the uncertainties. Every time you do a job search, you experience different things, and I see that today you are experiencing discomfort with it. With this mini-therapy let’s understand how to cope with this feeling, and what would asmall step to navigating through these transitions look like.

Feeling uncertain about finding a job is normal. This is because job hunting can be unpredictable and stressful, especially if you are not sure what the future holds. But, this uncertainty can also provide opportunities for growth and learning.",practice_awareness,I’ll give you a minute to consider it.,practice_awareness,Was there a time you took a chance and learned from that experience?,practice_affirmations,I have the ability to adapt and overcome challenges. I will remain open-minded while exploring different opportunities and trust I can handle whatever comes my way.,reflective_questions,"For the next 2 weeks, can you think of a goal you would like to work on? What would you need to do to achieve that?",,,,,,,,
"I push everyone away that gets too close and just self-sabotage. I don't seem to be able to stick to some of my relationships for very long, because I don't let them in","Hi there!

It sounds like you're walking with walls around you. There is a part of you that wants these walls to break down - this is the part that maybe removes one brick here, one there, allowing for a little bit of closeness, a relationship for a short while. But, if it gets too much, if there's too much coming in through these gaps, something in you tells you to put the bricks back up and close the walls again.

You don't want to let anybody into this safe little cave you've created for yourself, even though it might get a little lonely and suffocating in here all by yourself.

When we can tolerate only a little bit of closeness, only for a short while, it suggests we have an inner conflict. We want it, but also, we don't. The part that wants it is acting from a natural, healthy need for companionship, love, and belongingness.

Let's explore the part that pushes everyone away.

I am going to ask you a series of questions. Try to answer them to the best of your ability, but if you need more time, that's okay. You can come back here anytime to continue your reflection.",guided_journaling,"At what point does it start feeling 'too much'? Too close, or too long?",practice_awareness,"Imagine that tonight, while you're asleep, a miracle happens and someone breaks down this wall around you. The parts of you that feel undeserving of closeness and love. The fears that hold you back. When you wake up tomorrow, you won't have this wall around you. You are free to explore the world without anything within you sabotaging your efforts and needs.

And you have closeness, intimacy, and a sense of belongingness and safety in a long-term relationship.

What does that feel like? What does that look like?

Open your eyes, and tell me all about it.",guided_journaling,How did it feel to have closeness and intimacy?,practice_breathing,breathing_4_x_5_x_6,,,,,,,,
I experienced intense parentification growing up. I took the responsibility for my parent’s feelings and I was often more of a parent to them than them being a parent to me,"Hi there! I am so glad to see you here. It takes a lot of courage to show up for yourself! My goal is to help you feel validated and seen as you work your way through this therapy.

Growing up in an environment where you were the emotional caretaker of your parents is not fair. As a child, it is never your responsibility to take on the role of a parent. I am so sorry that this happened to you.

Before we get started, make sure that you are seated in a comfortable position. Maybe grab a hot cup of tea, coffee, or water. The more comfortable you are, the more your body can relax and allow you to be present.

The following exercise allows you to follow the prompt as it guides you through a breathing exercise. Notice how you feel now and then again after you finish the exercise. Is your body more relaxed? Do you think that your mind is clearer?",practice_breathing,breathing_4_x_5_x_6,reflective_questions,How did you feel the most validated in your family? Take some time to write down ways you were required to behave or things you felt you needed to do to feel loved by your family?,practice_awareness,"Let’s do a self Check In: Take a minute to check in with yourself. How are you feeling emotionally right now? Do you feel tension anywhere in your body? If you do, stay with me for a while and just breathe.",reflective_questions,In what ways can you begin to practice self-care today?,guided_journaling,"Here are two questions that I encourage you to write the answers to. You might need to give them some thought:

1. What do you wish your parents knew about you?

2. Envision a younger version of yourself; as your adult self, what would you like your younger self to know?",guided_journaling,Try doing this exercise for one event from your childhood,reflective_questions,"To do that, you will want to answer the following questions.

1. What in my life causes me stress? (ex: when I have too much on my agenda)",,
"Self-hatred is my biggest concern right now. I wish I could deal with it somehow, but I’m just stuck on it. Even when I try working through it, I automatically get back to my negative thoughts, so I just give up","Self-hatred is a strong word! And a strong feeling, too, I imagine.

Negative thoughts can take many forms. They feel automatic when unchecked and unexamined. We’ll examine these thoughts today, together.

But before that, let’s take a moment to ground ourselves. This will help us explore the discomfort with clarity and calm.

Let’s do this by practicing an ‘anchoring phrase’. In one to three sentences, describe your surroundings.

For example, my anchoring phrase right now would be - ‘I am sitting in a beautiful coworking cafe, and it’s raining outside. It’s quiet except for the sound of rain and people typing away on their laptops.’

Got it?

Now, let’s practice yours…",practice_awareness,Practice your anchoring phrase by describing your surroundings in one to three sentences.,guided_journaling,What does this self-hatred entail? What do negative thoughts about yourself say?,guided_journaling,"Think of the last time you spiraled into self-hatred. Now, let’s pause and write down the thoughts, feelings, and situation.",guided_journaling,Write down a negative thought you’ve had in the past.,,,,,,,,
"I'm trying to make my long-distance relationship work. I'm okay with my partner fulfilling their needs elsewhere, but I'm so afraid they'll bond with someone else and I'll lose them","Hi there!

Long-distance relationships are challenging, aren’t they? Through no fault of your own, or your partner’s, this external circumstance limits how you can show up in the relationship. I respect your acknowledgment of the fact that you may not be able to fulfill all of your partner’s needs. Long-distance or not, it is not possible for one person to be everything to their partner.

I wonder… what are the unmet needs in your relationship? And not just your partner’s, but yours, too.

Let’s spend some time exploring this.",guided_journaling,"What are some of your partner’s needs that are not being met in the relationship? And is this something they’ve mentioned? If not, what makes you feel these are unmet needs?",guided_journaling,What are some of your needs that are currently not being met in the relationship?,practice_awareness,"Close your eyes and imagine you’re sitting in your happy place. This could be a real physical place you’ve been to before or a fictional place that makes you feel calm and centered.

You’re alone here.

You’re relaxed here.

Soak this image in - what do you see around you? What do you hear? What can you smell, touch and taste?

Give yourself a gentle smile, and feel this sense of peace fill your body. In this moment, you’re whole.

Take a deep breath in, allowing this sense of peace to grow, and exhale, letting yourself relax.

Slowly open your eyes.",,,,,,,,,,
"I sometimes feel like my partner will cheat on me, even when it’s irrational and I have no logical reason to feel so","Hi there, welcome to your mini-therapy! So, you have been experiencing feelings of anxiety and insecurity in your relationship. I understand that you have been feeling like your partner might cheat on you. This is even when you know it's irrational and you have no logical reason to feel that way. It can be really challenging to deal with these feelings, but I'm here to help you work through them.

First of all, I want to acknowledge that it's completely understandable for you to have trust issues given your past experiences of being cheated on. It's normal to feel anxious or even worried about your current relationship, even if your partner hasn’t given you any reasons to doubt them.

But, at the same time, it’s imperative to understand that your past experiences don’t necessarily define your current relationship.

Trust is one of the most important things in a relationship and you deserve a healthy, trusting and secure relationship. So, let's explore what your needs are to feel safe and secure in your relationship.",reflective_questions,"What are your expectations of your partner? Is it better communication? Verbal reassurance, or perhaps something else? Whatever your expectations are of your partner, please take a moment to write them down.",practice_awareness,"Close your eyes and take a deep breath. Hold your breath for a few seconds, and then exhale slowly through your mouth. Repeat this a few more times. As you’re doing this, forget about everything else and concentrate on your breath. When you are ready, open your eyes and we can continue.",,,,,,,,,,,,
"I’m going through some huge transitions right now. So, everything feels very shaky in my life, as if there are no roots","Hello there 😊

This transition sounds like it's been tough on you. I understand the confusion that comes with a shaky ground. It is okay to feel this way during a transition!

To some, sudden or continuous changes can over-stimulate their sense organs. This feeling that everything is “shaky”, and we are about to fall, usually stems from anxiety in times of extreme unpredictability. More like a sinking sand effect, have I got that right?

However, when our body goes through bouts of “shakiness” and “root-lessness”, as first-aid, it is necessary to shift our focus to reducing the effects of anxiety to better navigate the confusion. Please know that anxious feelings and thoughts cannot be stopped or eradicated from the human system. What you and I can do is reduce anxiety effects (such as confusion and shakiness) to better support yourself through this transition.

Let’s do a small exercise that could lead to a sense of calm.",practice_awareness,"Perhaps we can begin by paying attention to this feeling of shakiness. Let’s allow ourselves to feel it. Tell yourself, “This feeling is okay to have, it makes me human.” Take some time to soak in that thought.

When you are ready, let's name this “feeling of shakiness"".

Where do you feel shakiness in your body?

Observe which part of your body this emotion is making its presence known. Tell yourself it’s an emotion, you are not your emotion, and this is your body’s way of responding to something unpleasant. Now, take a deep breath in, hold, and exhale.

Let’s continue to keep in touch with this emotion.

Picture this emotion as a wave, where you can float in it, or ride on it to the shore. You are not your emotions. Youremotions don’t make you an unworthy person. It is a response to a stimulus.

Bring your attention to the present. Shift your attention to your breath. It is your anchor; it calms your agitated nervous system. Listen to how you inhale and exhale. When this feeling comes back, let yourself know that it’s okay. Feelings do exactly that, they come and go.

Let Shakiness (or whatever you named the emotion) be in the room with you. Approach it with curiosity. Does it have a shape? Does it speak? What does it say to you? Perhaps ask it what it wants from you.",guided_journaling,Let's write down what it wants. This can help you gain better clarity in this situation. Make a list if you need to. Divide the list into priorities and non-priorities; What you can do at the moment and vice versa. How are you feeling now? Take a minute to gather your thoughts and emotions. Inhale and exhale.,guided_journaling,Write down what minute steps you can take to gain clarity,,,,,,,,,,
"I always thought that once I reach a certain compensation package or title, I would be really happy and my job would become less exhausting. But, with more money and better title and recognition also.. nothing really changes","Hi there!

Anticipation of something is often more intense than how it unfolds. When we expect something to make us really happy, or really sad, we often find that our actual experience of it is a few notches lower.

But, I suspect there’s more to your unhappiness than unrealistic expectations. You have met certain goals, and you have more money, and a better title… but it doesn’t feel as good as you thought it would. I understand that. I’ve experienced something similar - a sense of emptiness after meeting a huge goal I had set for myself.

Here’s what happens when we work focused on a goal - our body and mind enter a state of stress. You see, stress is not always negative. There is something called ‘U-stress’ or ‘positive-stress’ - it’s that sense of anxiety or nervousness before an exam or major presentation that pushes you to work harder. Even though positive stress helps you achieve your goals, it is still stress. And when you finally meet that goal, instead of the satisfaction you anticipated feeling, you end up feeling exhausted… BECAUSE YOU HAVE BEEN WORKING SO HARD FOR SO LONG!

Before we dig deeper into your discomfort, why don’t we pause and do absolutely nothing for a moment? Close your eyes, sit back, and allow your body and mind to relax.",practice_awareness,"Relax your feet, your knees, your thighs, and your hips. Relax your stomach and allow it to expand and shrink as you breathe in and out. Relax your shoulders, jaw, and eyebrows. Let your tongue fall off the roof of your mouth.

Let’s stay here for a few more seconds.",guided_journaling,"How did you expect your work situation to change after reaching a certain compensation package or title? Think of it in terms of your role, your daily responsibilities, and your relationships with your colleagues and bosses.",guided_journaling,How is your physical self impacted by this? Do you find yourself getting more tired? Do you struggle to wake up or sleep? How’s your appetite?,,,,,,,,,,
My partner is feeling down and it’s affecting me - I’m unable to focus on anything,"It sounds like you are going through a tough time because your partner is feeling down, and it’s affecting you and your ability to focus on anything. I understand that it can be challenging to deal with our emotions when our loved ones are involved, so it’s crucial for us to acknowledge these feelings.

While it’s important to support our partners through difficult times, it’s also important to recognize the impact that it can have on our own well-being. So, let’s take a moment to explore how YOU’RE feeling and what YOU need in this situation.",reflective_questions,What are your thoughts and emotions about your partner feeling down?,reflective_questions,"What specifically about your partner feeling down affects your ability to focus on anything? Is it concern, helplessness, or anything else? Take a few minutes to think about this.",practice_awareness,"Let’s begin.

Take a deep breath and exhale slowly. As you exhale, imagine all the anxiousness and stress leaving your body. Now, think of a calming scene or phrase you can repeat to yourself when you feel overwhelmed. It could be your happy memory, like a happy trip with your partner or your safe space. Or, it could be a phrase like “I am calm and in control” or “I can handle my own emotions.” Repeat this phrase to yourself a few times, and notice how it makes you feel",guided_journaling,"Where in my busy day can I add time for myself to recharge? What activities can I do that can help me focus on myself? The activities could be - going for a run, reading a book, watching my favorite movies, taking a nice long bath, etc.",,,,,,,,
I want to learn how to trust myself and not abandon myself when things get rough,"Hello. Welcome to your safe space. I am so glad to see you taking care of yourself.

Learning how to trust yourself and believe in yourself is one of the most essential aspects of healthy and happy living.

Staying true to yourself in a world where people's opinions and expectations dominate the mind can be challenging. It is critical to regain our self confidence in the event of a setback or a mess up.

When you want to trust yourself, the journey begins from within. It is all about looking inward despite demands, expectations, and setbacks. It is not selfish to priortize one's desires and be your own authority. It is a crucial element of a fulfilling life.

Trusting oneself means looking after one's needs and safety. Treating yourself with love and compassion irrespective of what happens. You love your family and friends even when they mess up. You understand them. This kind of love and understanding is all that you need rather than striving for perfection because no one is perfect in this world. Refusing to give up on yourself even when nothing is right is self-trust.

Sometimes, lack of self trust can also happen when your parents have often fixed your problems or taken care of your responsibilities. This has not really given you a chance to take responsibility and test your capabilities.

Family, community, and society expect us to be a certain kind of person. This pressure to wear a mask may also make us feel that our original personality isn't good enough.

You are not alone in having a hard time trusting yourself. As we grow up, because we are humans, we all make mistakes, receive negative opinions, experience setbacks and failures. These experiences are bound to create difficulties withestablishing self-confidence. As adults, it is our job to navigate through these experiences and build a realistic perspective. We must also challenge our negative baggage. Our problem, however, is that there are some of us who believe in the baggage rather than challenging it, which makes it very difficult.

As we discuss the origins of lacking self-trust, let us delve further into your experiences that affected self-trust in you.",guided_journaling,Make a list of experiences you have lived that have made it difficult to trust yourself.,reflective_questions,How does lack of self-confidence manifest?,guided_journaling,Step 1. Identify your needs,practice_awareness,"Let's visualise your true self where you trust yourself.

What would your facial experience look like? What clothes would you wear? What kind of activities would you engagein? What kind of people would you interact with? How would you express yourself to them? How strong and happy would you feel?

Visualise your empowered self now.",reflective_questions,What is the first step to reaching your visualized self?,practice_affirmations,"My needs matter

I am capable and competent

I am ready and willing to be the best version of myself",,,,
"I don't believe in myself and my skills, even when people praise me for them","Dear human, I want you to know that it takes courage to admit that you struggle to believe in yourself and your skills even when others praise you. Although this is a common feeling, it can be tough to understand why it happens. But don't worry! The purpose of this mini-therapy is to help you better understand it.

Before we begin, I want to leave a phrase here. Feel free to read it slowly and understand how it feels to say it to yourself. Here you go!

I am deserving of love, respect, and admiration, just the way I am.

Let me say it again. This time, read it with me. I am deserving of love, respect, and admiration, just the way I am.",reflective_questions,"As you listen to this, what does it make you feel or think? Would you like to share it with me?",reflective_questions,Can you think of a time when you felt proud of your accomplishments and allowed yourself to internalizepraise?,send_love_to_yourself,"I am deserving of love, respect, and admiration, just the way I am",,,,,,,,,,
